ID,敵種別,HP,初期座標X,初期座標Y,初期座標Z,移動可能範囲,WAVE
1,0,3,100.0f,40.0f,700.0f,4000.0f,1
2,0,3,200.0f,40.1f,600.1f,4000.1f,1
3,0,3,300.0f,40.2f,200.0f,4000.2f,1
4,0,3,400.0f,40.3f,600.3f,4000.3f,1
5,0,3,500.0f,40.4f,400.0f,4000.4f,1
6,0,3,600.0f,40.5f,1600.5f,4000.5f,1
7,0,3,700.0f,40.6f,200.0f,4000.6f,1
8,0,3,1100.0f,40.7f,1100.0f,4000.7f,1
9,0,3,1100.0f,40.8f,1600.6f,4000.8f,1
10,0,3,1500.0f,40.9f,1100.0f,4000.9f,1
11,0,5,100.0f,40.0f,700.0f,4000.0f,2
12,0,5,600.0f,40.5f,1600.5f,4000.5f,2
13,0,5,1100.0f,40.7f,1100.0f,4000.7f,2
14,0,5,500.0f,40.4f,400.0f,4000.4f,2
15,0,5,300.0f,40.2f,200.0f,4000.5f,2
16,1,2,1600.5f,150.0f,100.0f,4000.6f,2
17,1,5,400.0f,150.1f,1500.0f,4000.7f,2
18,1,5,600.3f,150.2f,600.0f,4000.8f,2
19,0,5,1900.0f,40.9f,500.0f,4000.9f,2
20,0,5,1500.0f,40.9f,1100.0f,4000.9f,2
21,0,5,1100.0f,40.7f,1100.0f,4000.7f,3
22,0,8,200.0f,40.1f,600.1f,4000.1f,3
23,0,5,300.0f,40.2f,200.0f,4000.2f,3
24,0,8,500.0f,40.4f,400.0f,4000.4f,3
25,0,5,300.0f,40.2f,200.0f,4000.5f,3
26,2,20,1600.0f,40.3f,900.0f,4000.6f,3
27,2,20,800.0f,40.4f,100.0f,4000.7f,3
28,1,2,1600.5f,150.0f,100.0f,4000.6f,3
29,1,3,400.0f,150.1f,1500.0f,4000.7f,3
30,3,60,100.0f,40.0f,600.0f,4000.0f,4
